ID	Name	AttributeOne	AttributeTwo	AttributeThree
14118	彩·碎冰·霜冷·冻髓(陆)	atLunarHitValue	atLunarAttackPowerBase	atLunarOvercomeBase
14134	彩·碎冰·冻髓·杯雪(肆)	atLunarHitValue	atLunarOvercomeBase	atLunarCriticalDamagePowerBase
14135	彩·碎冰·冻髓·杯雪(伍)	atLunarHitValue	atLunarOvercomeBase	atLunarCriticalDamagePowerBase
14136	彩·碎冰·冻髓·杯雪(陆)	atLunarHitValue	atLunarOvercomeBase	atLunarCriticalDamagePowerBase
14128	彩·碎冰·冻髓·霜冷(肆)	atLunarHitValue	atLunarOvercomeBase	atLunarAttackPowerBase
14129	彩·碎冰·冻髓·霜冷(伍)	atLunarHitValue	atLunarOvercomeBase	atLunarAttackPowerBase
14130	彩·碎冰·冻髓·霜冷(陆)	atLunarHitValue	atLunarOvercomeBase	atLunarAttackPowerBase
25608	彩·碎冰·急速·霜冷(肆)	atLunarHitValue	atHasteBase	atLunarAttackPowerBase
25609	彩·碎冰·急速·霜冷(伍)	atLunarHitValue	atHasteBase	atLunarAttackPowerBase
25610	彩·碎冰·急速·霜冷(陆)	atLunarHitValue	atHasteBase	atLunarAttackPowerBase
13564	彩·冻髓·大化·杯雪(肆)	atLunarOvercomeBase	atDecriticalDamagePowerBase	atLunarCriticalDamagePowerBase
13565	彩·冻髓·大化·杯雪(伍)	atLunarOvercomeBase	atDecriticalDamagePowerBase	atLunarCriticalDamagePowerBase
13566	彩·冻髓·大化·杯雪(陆)	atLunarOvercomeBase	atDecriticalDamagePowerBase	atLunarCriticalDamagePowerBase
13558	彩·冻髓·大化·霜冷(肆)	atLunarOvercomeBase	atDecriticalDamagePowerBase	atLunarAttackPowerBase
13559	彩·冻髓·大化·霜冷(伍)	atLunarOvercomeBase	atDecriticalDamagePowerBase	atLunarAttackPowerBase
13560	彩·冻髓·大化·霜冷(陆)	atLunarOvercomeBase	atDecriticalDamagePowerBase	atLunarAttackPowerBase
13552	彩·冻髓·杯雪·霜冷(肆)	atLunarOvercomeBase	atLunarCriticalDamagePowerBase	atLunarAttackPowerBase
13553	彩·冻髓·杯雪·霜冷(伍)	atLunarOvercomeBase	atLunarCriticalDamagePowerBase	atLunarAttackPowerBase
13554	彩·冻髓·杯雪·霜冷(陆)	atLunarOvercomeBase	atLunarCriticalDamagePowerBase	atLunarAttackPowerBase
13546	彩·冻髓·霜冷·杯雪(肆)	atLunarOvercomeBase	atLunarAttackPowerBase	atLunarCriticalDamagePowerBase
13547	彩·冻髓·霜冷·杯雪(伍)	atLunarOvercomeBase	atLunarAttackPowerBase	atLunarCriticalDamagePowerBase
13548	彩·冻髓·霜冷·杯雪(陆)	atLunarOvercomeBase	atLunarAttackPowerBase	atLunarCriticalDamagePowerBase
25124	彩·琉璃·大化·焚虚(肆)	atSolarAndLunarAttackPowerBase	atDecriticalDamagePowerBase	atSolarAndLunarOvercomeBase
25125	彩·琉璃·大化·焚虚(伍)	atSolarAndLunarAttackPowerBase	atDecriticalDamagePowerBase	atSolarAndLunarOvercomeBase
25126	彩·琉璃·大化·焚虚(陆)	atSolarAndLunarAttackPowerBase	atDecriticalDamagePowerBase	atSolarAndLunarOvercomeBase
25130	彩·琉璃·大化·界影(肆)	atSolarAndLunarAttackPowerBase	atDecriticalDamagePowerBase	atSolarAndLunarCriticalDamagePowerBase
25131	彩·琉璃·大化·界影(伍)	atSolarAndLunarAttackPowerBase	atDecriticalDamagePowerBase	atSolarAndLunarCriticalDamagePowerBase
25132	彩·琉璃·大化·界影(陆)	atSolarAndLunarAttackPowerBase	atDecriticalDamagePowerBase	atSolarAndLunarCriticalDamagePowerBase
25112	彩·琉璃·焚虚·界影(肆)	atSolarAndLunarAttackPowerBase	atSolarAndLunarOvercomeBase	atSolarAndLunarCriticalDamagePowerBase
25113	彩·琉璃·焚虚·界影(伍)	atSolarAndLunarAttackPowerBase	atSolarAndLunarOvercomeBase	atSolarAndLunarCriticalDamagePowerBase
25114	彩·琉璃·焚虚·界影(陆)	atSolarAndLunarAttackPowerBase	atSolarAndLunarOvercomeBase	atSolarAndLunarCriticalDamagePowerBase
25118	彩·琉璃·界影·焚虚(肆)	atSolarAndLunarAttackPowerBase	atSolarAndLunarCriticalDamagePowerBase	atSolarAndLunarOvercomeBase
25119	彩·琉璃·界影·焚虚(伍)	atSolarAndLunarAttackPowerBase	atSolarAndLunarCriticalDamagePowerBase	atSolarAndLunarOvercomeBase
25120	彩·琉璃·界影·焚虚(陆)	atSolarAndLunarAttackPowerBase	atSolarAndLunarCriticalDamagePowerBase	atSolarAndLunarOvercomeBase
14704	彩·无双·穿石·鹤顶(肆)	atStrainBase	atPoisonCriticalDamagePowerBase	atPoisonAttackPowerBase
14705	彩·无双·穿石·鹤顶(伍)	atStrainBase	atPoisonCriticalDamagePowerBase	atPoisonAttackPowerBase
14706	彩·无双·穿石·鹤顶(陆)	atStrainBase	atPoisonCriticalDamagePowerBase	atPoisonAttackPowerBase
14710	彩·无双·穿石·腐心(肆)	atStrainBase	atPoisonCriticalDamagePowerBase	atPoisonOvercomeBase
14711	彩·无双·穿石·腐心(伍)	atStrainBase	atPoisonCriticalDamagePowerBase	atPoisonOvercomeBase
14712	彩·无双·穿石·腐心(陆)	atStrainBase	atPoisonCriticalDamagePowerBase	atPoisonOvercomeBase
14722	彩·无双·月华·灭气(肆)	atStrainBase	atMagicCriticalDamagePowerBase	atMagicOvercome
14723	彩·无双·月华·灭气(伍)	atStrainBase	atMagicCriticalDamagePowerBase	atMagicOvercome
14724	彩·无双·月华·灭气(陆)	atStrainBase	atMagicCriticalDamagePowerBase	atMagicOvercome
14716	彩·无双·月华·激流(肆)	atStrainBase	atMagicCriticalDamagePowerBase	atMagicAttackPowerBase
14717	彩·无双·月华·激流(伍)	atStrainBase	atMagicCriticalDamagePowerBase	atMagicAttackPowerBase
14718	彩·无双·月华·激流(陆)	atStrainBase	atMagicCriticalDamagePowerBase	atMagicAttackPowerBase
14692	彩·无双·杯雪·霜冷(肆)	atStrainBase	atLunarCriticalDamagePowerBase	atLunarAttackPowerBase
14693	彩·无双·杯雪·霜冷(伍)	atStrainBase	atLunarCriticalDamagePowerBase	atLunarAttackPowerBase
14694	彩·无双·杯雪·霜冷(陆)	atStrainBase	atLunarCriticalDamagePowerBase	atLunarAttackPowerBase
14698	彩·无双·杯雪·冻髓(肆)	atStrainBase	atLunarCriticalDamagePowerBase	atLunarOvercomeBase
14699	彩·无双·杯雪·冻髓(伍)	atStrainBase	atLunarCriticalDamagePowerBase	atLunarOvercomeBase
14700	彩·无双·杯雪·冻髓(陆)	atStrainBase	atLunarCriticalDamagePowerBase	atLunarOvercomeBase
14674	彩·无双·浴火·日炎(肆)	atStrainBase	atSolarCriticalDamagePowerBase	atSolarOvercomeBase
14675	彩·无双·浴火·日炎(伍)	atStrainBase	atSolarCriticalDamagePowerBase	atSolarOvercomeBase
14676	彩·无双·浴火·日炎(陆)	atStrainBase	atSolarCriticalDamagePowerBase	atSolarOvercomeBase
14668	彩·无双·浴火·烈阳(肆)	atStrainBase	atSolarCriticalDamagePowerBase	atSolarAttackPowerBase
14669	彩·无双·浴火·烈阳(伍)	atStrainBase	atSolarCriticalDamagePowerBase	atSolarAttackPowerBase
14670	彩·无双·浴火·烈阳(陆)	atStrainBase	atSolarCriticalDamagePowerBase	atSolarAttackPowerBase
14554	彩·无双·烈阳·浴火(肆)	atStrainBase	atSolarAttackPowerBase	atSolarCriticalDamagePowerBase
14555	彩·无双·烈阳·浴火(伍)	atStrainBase	atSolarAttackPowerBase	atSolarCriticalDamagePowerBase
14556	彩·无双·烈阳·浴火(陆)	atStrainBase	atSolarAttackPowerBase	atSolarCriticalDamagePowerBase
14548	彩·无双·烈阳·日炎(肆)	atStrainBase	atSolarAttackPowerBase	atSolarOvercomeBase
14549	彩·无双·烈阳·日炎(伍)	atStrainBase	atSolarAttackPowerBase	atSolarOvercomeBase
14550	彩·无双·烈阳·日炎(陆)	atStrainBase	atSolarAttackPowerBase	atSolarOvercomeBase
25322	彩·无双·界影·焚虚(肆)	atStrainBase	atSolarAndLunarCriticalDamagePowerBase	atSolarAndLunarOvercomeBase
25323	彩·无双·界影·焚虚(伍)	atStrainBase	atSolarAndLunarCriticalDamagePowerBase	atSolarAndLunarOvercomeBase
25324	彩·无双·界影·焚虚(陆)	atStrainBase	atSolarAndLunarCriticalDamagePowerBase	atSolarAndLunarOvercomeBase
25316	彩·无双·界影·琉璃(肆)	atStrainBase	atSolarAndLunarCriticalDamagePowerBase	atSolarAndLunarAttackPowerBase
25317	彩·无双·界影·琉璃(伍)	atStrainBase	atSolarAndLunarCriticalDamagePowerBase	atSolarAndLunarAttackPowerBase
25318	彩·无双·界影·琉璃(陆)	atStrainBase	atSolarAndLunarCriticalDamagePowerBase	atSolarAndLunarAttackPowerBase
14614	彩·无双·日炎·浴火(肆)	atStrainBase	atSolarOvercomeBase	atSolarCriticalDamagePowerBase
14615	彩·无双·日炎·浴火(伍)	atStrainBase	atSolarOvercomeBase	atSolarCriticalDamagePowerBase
14616	彩·无双·日炎·浴火(陆)	atStrainBase	atSolarOvercomeBase	atSolarCriticalDamagePowerBase
14608	彩·无双·日炎·烈阳(肆)	atStrainBase	atSolarOvercomeBase	atSolarAttackPowerBase
14609	彩·无双·日炎·烈阳(伍)	atStrainBase	atSolarOvercomeBase	atSolarAttackPowerBase
14610	彩·无双·日炎·烈阳(陆)	atStrainBase	atSolarOvercomeBase	atSolarAttackPowerBase
25304	彩·无双·焚虚·琉璃(肆)	atStrainBase	atSolarAndLunarOvercomeBase	atSolarAndLunarAttackPowerBase
25305	彩·无双·焚虚·琉璃(伍)	atStrainBase	atSolarAndLunarOvercomeBase	atSolarAndLunarAttackPowerBase
25306	彩·无双·焚虚·琉璃(陆)	atStrainBase	atSolarAndLunarOvercomeBase	atSolarAndLunarAttackPowerBase
25310	彩·无双·焚虚·界影(肆)	atStrainBase	atSolarAndLunarOvercomeBase	atSolarAndLunarCriticalDamagePowerBase
25311	彩·无双·焚虚·界影(伍)	atStrainBase	atSolarAndLunarOvercomeBase	atSolarAndLunarCriticalDamagePowerBase
25312	彩·无双·焚虚·界影(陆)	atStrainBase	atSolarAndLunarOvercomeBase	atSolarAndLunarCriticalDamagePowerBase
14578	彩·无双·霜冷·杯雪(肆)	atStrainBase	atLunarAttackPowerBase	atLunarCriticalDamagePowerBase
14579	彩·无双·霜冷·杯雪(伍)	atStrainBase	atLunarAttackPowerBase	atLunarCriticalDamagePowerBase
14580	彩·无双·霜冷·杯雪(陆)	atStrainBase	atLunarAttackPowerBase	atLunarCriticalDamagePowerBase
14572	彩·无双·霜冷·冻髓(肆)	atStrainBase	atLunarAttackPowerBase	atLunarOvercomeBase
14573	彩·无双·霜冷·冻髓(伍)	atStrainBase	atLunarAttackPowerBase	atLunarOvercomeBase
14574	彩·无双·霜冷·冻髓(陆)	atStrainBase	atLunarAttackPowerBase	atLunarOvercomeBase
25590	彩·无双·急速·琉璃(肆)	atStrainBase	atHasteBase	atSolarAndLunarAttackPowerBase
25591	彩·无双·急速·琉璃(伍)	atStrainBase	atHasteBase	atSolarAndLunarAttackPowerBase
25592	彩·无双·急速·琉璃(陆)	atStrainBase	atHasteBase	atSolarAndLunarAttackPowerBase
25584	彩·无双·急速·鹤顶(肆)	atStrainBase	atHasteBase	atPoisonAttackPowerBase
25585	彩·无双·急速·鹤顶(伍)	atStrainBase	atHasteBase	atPoisonAttackPowerBase
25586	彩·无双·急速·鹤顶(陆)	atStrainBase	atHasteBase	atPoisonAttackPowerBase
25578	彩·无双·急速·霜冷(肆)	atStrainBase	atHasteBase	atLunarAttackPowerBase
25579	彩·无双·急速·霜冷(伍)	atStrainBase	atHasteBase	atLunarAttackPowerBase
25580	彩·无双·急速·霜冷(陆)	atStrainBase	atHasteBase	atLunarAttackPowerBase
25566	彩·无双·急速·雷鸣(肆)	atStrainBase	atHasteBase	atNeutralAttackPowerBase
25567	彩·无双·急速·雷鸣(伍)	atStrainBase	atHasteBase	atNeutralAttackPowerBase
25568	彩·无双·急速·雷鸣(陆)	atStrainBase	atHasteBase	atNeutralAttackPowerBase
25674	彩·无双·急速·锐刃(肆)	atStrainBase	atHasteBase	atPhysicsAttackPowerBase
25675	彩·无双·急速·锐刃(伍)	atStrainBase	atHasteBase	atPhysicsAttackPowerBase
25676	彩·无双·急速·锐刃(陆)	atStrainBase	atHasteBase	atPhysicsAttackPowerBase
25572	彩·无双·急速·烈阳(肆)	atStrainBase	atHasteBase	atSolarAttackPowerBase
25573	彩·无双·急速·烈阳(伍)	atStrainBase	atHasteBase	atSolarAttackPowerBase
25574	彩·无双·急速·烈阳(陆)	atStrainBase	atHasteBase	atSolarAttackPowerBase
14644	彩·无双·腐心·鹤顶(肆)	atStrainBase	atPoisonOvercomeBase	atPoisonAttackPowerBase
14645	彩·无双·腐心·鹤顶(伍)	atStrainBase	atPoisonOvercomeBase	atPoisonAttackPowerBase
14646	彩·无双·腐心·鹤顶(陆)	atStrainBase	atPoisonOvercomeBase	atPoisonAttackPowerBase
16582	彩·无双·腐心·痛击(肆)	atStrainBase	atPoisonOvercomeBase	atPhysicsCriticalDamagePowerBase
16583	彩·无双·腐心·痛击(伍)	atStrainBase	atPoisonOvercomeBase	atPhysicsCriticalDamagePowerBase
16584	彩·无双·腐心·痛击(陆)	atStrainBase	atPoisonOvercomeBase	atPhysicsCriticalDamagePowerBase
14650	彩·无双·腐心·穿石(肆)	atStrainBase	atPoisonOvercomeBase	atPoisonCriticalDamagePowerBase
14651	彩·无双·腐心·穿石(伍)	atStrainBase	atPoisonOvercomeBase	atPoisonCriticalDamagePowerBase
14652	彩·无双·腐心·穿石(陆)	atStrainBase	atPoisonOvercomeBase	atPoisonCriticalDamagePowerBase
14656	彩·无双·灭气·激流(肆)	atStrainBase	atMagicOvercome	atMagicAttackPowerBase
14657	彩·无双·灭气·激流(伍)	atStrainBase	atMagicOvercome	atMagicAttackPowerBase
14658	彩·无双·灭气·激流(陆)	atStrainBase	atMagicOvercome	atMagicAttackPowerBase
14662	彩·无双·灭气·月华(肆)	atStrainBase	atMagicOvercome	atMagicCriticalDamagePowerBase
14663	彩·无双·灭气·月华(伍)	atStrainBase	atMagicOvercome	atMagicCriticalDamagePowerBase
14664	彩·无双·灭气·月华(陆)	atStrainBase	atMagicOvercome	atMagicCriticalDamagePowerBase
16588	彩·无双·见切·鹤顶(肆)	atStrainBase	atPhysicsCriticalStrike	atPoisonAttackPowerBase
16589	彩·无双·见切·鹤顶(伍)	atStrainBase	atPhysicsCriticalStrike	atPoisonAttackPowerBase
16590	彩·无双·见切·鹤顶(陆)	atStrainBase	atPhysicsCriticalStrike	atPoisonAttackPowerBase
16594	彩·无双·见切·腐心(肆)	atStrainBase	atPhysicsCriticalStrike	atPoisonOvercomeBase
16595	彩·无双·见切·腐心(伍)	atStrainBase	atPhysicsCriticalStrike	atPoisonOvercomeBase
16596	彩·无双·见切·腐心(陆)	atStrainBase	atPhysicsCriticalStrike	atPoisonOvercomeBase
14626	彩·无双·混沌·霹雳(肆)	atStrainBase	atNeutralOvercomeBase	atNeutralCriticalDamagePowerBase
14627	彩·无双·混沌·霹雳(伍)	atStrainBase	atNeutralOvercomeBase	atNeutralCriticalDamagePowerBase
14628	彩·无双·混沌·霹雳(陆)	atStrainBase	atNeutralOvercomeBase	atNeutralCriticalDamagePowerBase
14620	彩·无双·混沌·雷鸣(肆)	atStrainBase	atNeutralOvercomeBase	atNeutralAttackPowerBase
14621	彩·无双·混沌·雷鸣(伍)	atStrainBase	atNeutralOvercomeBase	atNeutralAttackPowerBase
14622	彩·无双·混沌·雷鸣(陆)	atStrainBase	atNeutralOvercomeBase	atNeutralAttackPowerBase
12628	彩·无双·斩铁·痛击(肆)	atStrainBase	atPhysicsOvercomeBase	atPhysicsCriticalDamagePowerBase
12629	彩·无双·斩铁·痛击(伍)	atStrainBase	atPhysicsOvercomeBase	atPhysicsCriticalDamagePowerBase
12630	彩·无双·斩铁·痛击(陆)	atStrainBase	atPhysicsOvercomeBase	atPhysicsCriticalDamagePowerBase
12616	彩·无双·斩铁·狂攻(肆)	atStrainBase	atPhysicsOvercomeBase	atMeleeWeaponDamageBase
12617	彩·无双·斩铁·狂攻(伍)	atStrainBase	atPhysicsOvercomeBase	atMeleeWeaponDamageBase
12618	彩·无双·斩铁·狂攻(陆)	atStrainBase	atPhysicsOvercomeBase	atMeleeWeaponDamageBase
12622	彩·无双·斩铁·锐刃(肆)	atStrainBase	atPhysicsOvercomeBase	atPhysicsAttackPowerBase
12623	彩·无双·斩铁·锐刃(伍)	atStrainBase	atPhysicsOvercomeBase	atPhysicsAttackPowerBase
12624	彩·无双·斩铁·锐刃(陆)	atStrainBase	atPhysicsOvercomeBase	atPhysicsAttackPowerBase
14596	彩·无双·激流·灭气(肆)	atStrainBase	atMagicAttackPowerBase	atMagicOvercome
14597	彩·无双·激流·灭气(伍)	atStrainBase	atMagicAttackPowerBase	atMagicOvercome
14598	彩·无双·激流·灭气(陆)	atStrainBase	atMagicAttackPowerBase	atMagicOvercome
14602	彩·无双·激流·月华(肆)	atStrainBase	atMagicAttackPowerBase	atMagicCriticalDamagePowerBase
14603	彩·无双·激流·月华(伍)	atStrainBase	atMagicAttackPowerBase	atMagicCriticalDamagePowerBase
14604	彩·无双·激流·月华(陆)	atStrainBase	atMagicAttackPowerBase	atMagicCriticalDamagePowerBase
14566	彩·无双·雷鸣·霹雳(肆)	atStrainBase	atNeutralAttackPowerBase	atNeutralCriticalDamagePowerBase
14567	彩·无双·雷鸣·霹雳(伍)	atStrainBase	atNeutralAttackPowerBase	atNeutralCriticalDamagePowerBase
14568	彩·无双·雷鸣·霹雳(陆)	atStrainBase	atNeutralAttackPowerBase	atNeutralCriticalDamagePowerBase
14560	彩·无双·雷鸣·混沌(肆)	atStrainBase	atNeutralAttackPowerBase	atNeutralOvercomeBase
14561	彩·无双·雷鸣·混沌(伍)	atStrainBase	atNeutralAttackPowerBase	atNeutralOvercomeBase
14562	彩·无双·雷鸣·混沌(陆)	atStrainBase	atNeutralAttackPowerBase	atNeutralOvercomeBase
14638	彩·无双·冻髓·杯雪(肆)	atStrainBase	atLunarOvercomeBase	atLunarCriticalDamagePowerBase
14639	彩·无双·冻髓·杯雪(伍)	atStrainBase	atLunarOvercomeBase	atLunarCriticalDamagePowerBase
14640	彩·无双·冻髓·杯雪(陆)	atStrainBase	atLunarOvercomeBase	atLunarCriticalDamagePowerBase
14632	彩·无双·冻髓·霜冷(肆)	atStrainBase	atLunarOvercomeBase	atLunarAttackPowerBase
14633	彩·无双·冻髓·霜冷(伍)	atStrainBase	atLunarOvercomeBase	atLunarAttackPowerBase
14634	彩·无双·冻髓·霜冷(陆)	atStrainBase	atLunarOvercomeBase	atLunarAttackPowerBase
12646	彩·无双·痛击·锐刃(肆)	atStrainBase	atPhysicsCriticalDamagePowerBase	atPhysicsAttackPowerBase
12647	彩·无双·痛击·锐刃(伍)	atStrainBase	atPhysicsCriticalDamagePowerBase	atPhysicsAttackPowerBase
12648	彩·无双·痛击·锐刃(陆)	atStrainBase	atPhysicsCriticalDamagePowerBase	atPhysicsAttackPowerBase
16600	彩·无双·痛击·鹤顶(肆)	atStrainBase	atPhysicsCriticalDamagePowerBase	atPoisonAttackPowerBase
16601	彩·无双·痛击·鹤顶(伍)	atStrainBase	atPhysicsCriticalDamagePowerBase	atPoisonAttackPowerBase
16602	彩·无双·痛击·鹤顶(陆)	atStrainBase	atPhysicsCriticalDamagePowerBase	atPoisonAttackPowerBase
12634	彩·无双·痛击·狂攻(肆)	atStrainBase	atPhysicsCriticalDamagePowerBase	atMeleeWeaponDamageBase
12635	彩·无双·痛击·狂攻(伍)	atStrainBase	atPhysicsCriticalDamagePowerBase	atMeleeWeaponDamageBase
12636	彩·无双·痛击·狂攻(陆)	atStrainBase	atPhysicsCriticalDamagePowerBase	atMeleeWeaponDamageBase
12640	彩·无双·痛击·斩铁(肆)	atStrainBase	atPhysicsCriticalDamagePowerBase	atPhysicsOvercomeBase
12641	彩·无双·痛击·斩铁(伍)	atStrainBase	atPhysicsCriticalDamagePowerBase	atPhysicsOvercomeBase
12642	彩·无双·痛击·斩铁(陆)	atStrainBase	atPhysicsCriticalDamagePowerBase	atPhysicsOvercomeBase
16606	彩·无双·痛击·腐心(肆)	atStrainBase	atPhysicsCriticalDamagePowerBase	atPoisonOvercomeBase
16607	彩·无双·痛击·腐心(伍)	atStrainBase	atPhysicsCriticalDamagePowerBase	atPoisonOvercomeBase
16608	彩·无双·痛击·腐心(陆)	atStrainBase	atPhysicsCriticalDamagePowerBase	atPoisonOvercomeBase
16576	彩·无双·鹤顶·痛击(肆)	atStrainBase	atPoisonAttackPowerBase	atPhysicsCriticalDamagePowerBase
16577	彩·无双·鹤顶·痛击(伍)	atStrainBase	atPoisonAttackPowerBase	atPhysicsCriticalDamagePowerBase
16578	彩·无双·鹤顶·痛击(陆)	atStrainBase	atPoisonAttackPowerBase	atPhysicsCriticalDamagePowerBase
14590	彩·无双·鹤顶·穿石(肆)	atStrainBase	atPoisonAttackPowerBase	atPoisonCriticalDamagePowerBase
14591	彩·无双·鹤顶·穿石(伍)	atStrainBase	atPoisonAttackPowerBase	atPoisonCriticalDamagePowerBase
14592	彩·无双·鹤顶·穿石(陆)	atStrainBase	atPoisonAttackPowerBase	atPoisonCriticalDamagePowerBase
14584	彩·无双·鹤顶·腐心(肆)	atStrainBase	atPoisonAttackPowerBase	atPoisonOvercomeBase
14585	彩·无双·鹤顶·腐心(伍)	atStrainBase	atPoisonAttackPowerBase	atPoisonOvercomeBase
14586	彩·无双·鹤顶·腐心(陆)	atStrainBase	atPoisonAttackPowerBase	atPoisonOvercomeBase
25292	彩·无双·琉璃·焚虚(肆)	atStrainBase	atSolarAndLunarAttackPowerBase	atSolarAndLunarOvercomeBase
25293	彩·无双·琉璃·焚虚(伍)	atStrainBase	atSolarAndLunarAttackPowerBase	atSolarAndLunarOvercomeBase
25294	彩·无双·琉璃·焚虚(陆)	atStrainBase	atSolarAndLunarAttackPowerBase	atSolarAndLunarOvercomeBase
25298	彩·无双·琉璃·界影(肆)	atStrainBase	atSolarAndLunarAttackPowerBase	atSolarAndLunarCriticalDamagePowerBase
25299	彩·无双·琉璃·界影(伍)	atStrainBase	atSolarAndLunarAttackPowerBase	atSolarAndLunarCriticalDamagePowerBase
25300	彩·无双·琉璃·界影(陆)	atStrainBase	atSolarAndLunarAttackPowerBase	atSolarAndLunarCriticalDamagePowerBase
14686	彩·无双·霹雳·混沌(肆)	atStrainBase	atNeutralCriticalDamagePowerBase	atNeutralOvercomeBase
14687	彩·无双·霹雳·混沌(伍)	atStrainBase	atNeutralCriticalDamagePowerBase	atNeutralOvercomeBase
14688	彩·无双·霹雳·混沌(陆)	atStrainBase	atNeutralCriticalDamagePowerBase	atNeutralOvercomeBase
14680	彩·无双·霹雳·雷鸣(肆)	atStrainBase	atNeutralCriticalDamagePowerBase	atNeutralAttackPowerBase
14681	彩·无双·霹雳·雷鸣(伍)	atStrainBase	atNeutralCriticalDamagePowerBase	atNeutralAttackPowerBase
14682	彩·无双·霹雳·雷鸣(陆)	atStrainBase	atNeutralCriticalDamagePowerBase	atNeutralAttackPowerBase
12610	彩·无双·锐刃·痛击(肆)	atStrainBase	atPhysicsAttackPowerBase	atPhysicsCriticalDamagePowerBase
12611	彩·无双·锐刃·痛击(伍)	atStrainBase	atPhysicsAttackPowerBase	atPhysicsCriticalDamagePowerBase
12612	彩·无双·锐刃·痛击(陆)	atStrainBase	atPhysicsAttackPowerBase	atPhysicsCriticalDamagePowerBase
12598	彩·无双·锐刃·狂攻(肆)	atStrainBase	atPhysicsAttackPowerBase	atMeleeWeaponDamageBase
12599	彩·无双·锐刃·狂攻(伍)	atStrainBase	atPhysicsAttackPowerBase	atMeleeWeaponDamageBase
12600	彩·无双·锐刃·狂攻(陆)	atStrainBase	atPhysicsAttackPowerBase	atMeleeWeaponDamageBase
12604	彩·无双·锐刃·斩铁(肆)	atStrainBase	atPhysicsAttackPowerBase	atPhysicsOvercomeBase
12605	彩·无双·锐刃·斩铁(伍)	atStrainBase	atPhysicsAttackPowerBase	atPhysicsOvercomeBase
12606	彩·无双·锐刃·斩铁(陆)	atStrainBase	atPhysicsAttackPowerBase	atPhysicsOvercomeBase
13444	彩·霜冷·大化·杯雪(肆)	atLunarAttackPowerBase	atDecriticalDamagePowerBase	atLunarCriticalDamagePowerBase
13445	彩·霜冷·大化·杯雪(伍)	atLunarAttackPowerBase	atDecriticalDamagePowerBase	atLunarCriticalDamagePowerBase
13446	彩·霜冷·大化·杯雪(陆)	atLunarAttackPowerBase	atDecriticalDamagePowerBase	atLunarCriticalDamagePowerBase
13438	彩·霜冷·大化·冻髓(肆)	atLunarAttackPowerBase	atDecriticalDamagePowerBase	atLunarOvercomeBase
13439	彩·霜冷·大化·冻髓(伍)	atLunarAttackPowerBase	atDecriticalDamagePowerBase	atLunarOvercomeBase
13440	彩·霜冷·大化·冻髓(陆)	atLunarAttackPowerBase	atDecriticalDamagePowerBase	atLunarOvercomeBase
